"","GENEID","Repeats_First","Repeats_Last","Repeats_Count"
"1","ENSG00000162676",4,4,1
"2","ENSG00000171791",9,10,2
"3","ENSG00000069011",13,13,1
"4","ENSG00000159140",21,44,24
"5","ENSG00000182568",47,48,2
"6","ENSG00000081913",51,52,2
"7","ENSG00000107937",55,55,1
"8","ENSG00000119707",59,64,6
"9","ENSG00000169554",67,67,1
"10","ENSG00000114867",71,72,2
"11","ENSG00000143995",74,76,3
"12","ENSG00000139083",78,78,1
"13","ENSG00000113161",80,81,2
"14","ENSG00000151883",83,83,1
"15","ENSG00000131504",85,88,4
"16","ENSG00000105810",90,92,3
"17","ENSG00000107581",105,106,2
"18","ENSG00000177508",113,114,2
"19","ENSG00000138442",117,117,1
"20","ENSG00000179218",121,123,3
"21","ENSG00000055609",125,125,1
"22","ENSG00000108848",127,127,1
"23","ENSG00000159216",129,131,3
"24","ENSG00000184787",134,134,1
"25","ENSG00000118513",137,140,4
"26","ENSG00000168264",142,146,5
"27","ENSG00000089048",148,149,2
"28","ENSG00000100941",152,153,2
"29","ENSG00000009954",158,159,2
"30","ENSG00000227191",164,164,1
"31","ENSG00000141027",166,166,1
"32","ENSG00000251562",168,168,1
"33","ENSG00000153187",170,173,4
"34","ENSG00000117523",177,182,6
"35","ENSG00000266074",184,188,5
"36","ENSG00000116560",192,192,1
"37","ENSG00000148300",194,197,4
"38","ENSG00000086730",200,204,5
"39","ENSG00000157654",207,208,2
"40","ENSG00000179041",210,211,2
"41","ENSG00000171310",220,220,1
"42","ENSG00000162377",222,222,1
"43","ENSG00000105186",224,225,2
"44","ENSG00000069399",233,234,2
"45","ENSG00000204120",237,239,3
"46","ENSG00000123636",241,244,4
"47","ENSG00000105821",246,249,4
"48","ENSG00000135521",252,253,2
"49","ENSG00000105447",256,256,1
"50","ENSG00000198900",258,266,9
"51","ENSG00000086065",268,268,1
"52","ENSG00000114861",272,273,2
"53","ENSG00000155380",275,281,7
"54","ENSG00000162613",286,295,10
"55","ENSG00000177663",298,298,1
"56","ENSG00000142864",301,304,4
"57","ENSG00000080608",306,306,1
"58","ENSG00000179598",310,310,1
"59","ENSG00000120694",317,317,1
"60","ENSG00000055044",320,321,2
"61","ENSG00000121057",326,329,4
"62","ENSG00000135316",331,332,2
"63","ENSG00000108055",335,335,1
"64","ENSG00000158417",343,346,4
"65","ENSG00000151461",348,352,5
"66","ENSG00000107566",354,356,3
"67","ENSG00000065183",359,360,2
"68","ENSG00000101608",362,362,1
"69","ENSG00000167081",367,367,1
"70","ENSG00000165476",369,369,1
"71","ENSG00000067533",371,371,1
"72","ENSG00000168724",373,373,1
"73","ENSG00000143669",376,381,6
"74","ENSG00000087365",385,385,1
